Name,Price,Description
Бомбер с принтом,4799,"Цвет: Темно-зеленый
Состав: 60% хлопок, 40% полиэстер
Страна-производитель: КИТАЙ
Уход: Ручная стирка при максимальной температуре 40ºС, Не отбеливать, Машинная сушка запрещена, Глажение при 110ºС, Сухая чистка запрещена
Арт.: 3224521441
"
Трикотажные брюки,3199,"Цвет: Темно-зеленый
Состав: 60% хлопок, 40% полиэстер
Страна-производитель: КИТАЙ
Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Глажение при 110ºС, Профессиональная сухая чистка. Мягкий режим.
Арт.: 3224534704
Параметры: Застежка: без застежки; Модель брюк: джоггеры; Тип карманов: с отрезным бочком; Тип посадки: средняя
"
Худи из хлопка,3799,"Цвет: Ваниль
Состав: 60% хлопок, 40% полиэстер
Страна-производитель: КИТАЙ
Уход: Бережная стирка при максимальной температуре 40ºС, Не отбеливать, Машинная сушка запрещена, Глажение при 110ºС, Сухая чистка запрещена
Арт.: 3224529439
"
Свитшот из хлопка,3599,"Цвет: Зеленый
Состав: 100% хлопок
Страна-производитель: УЗБЕКИСТАН
Уход: Ручная стирка при максимальной температуре 40ºС, Не отбеливать, Машинная сушка запрещена, Глажение при 110ºС, Профессиональная сухая чистка. Мягкий режим.
Арт.: 3224540440
"
Брюки на резинке,3599,"Цвет: Кремовый/светлый беж
Состав: 100% хлопок
Страна-производитель: КИТАЙ
Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Глажение при 110ºС, Профессиональная сухая чистка. Мягкий режим.
Арт.: 3224223743
Параметры: Застежка: пояс; Модель брюк: прямые; широкие; Тип карманов: в шве; Тип посадки: средняя
"
Поло из хлопка,2799,"Цвет: Белый
Состав: 100% хлопок
Страна-производитель: ТУРЦИЯ
Уход: Ручная стирка при максимальной температуре 40ºС, Не отбеливать, Машинная сушка запрещена, Глажение при 110ºС, Профессиональная сухая чистка. Мягкий режим.
Арт.: 3224528438
"
Худи из хлопка,3599,"Цвет: Белый
Состав: 60% хлопок, 40% полиэстер
Страна-производитель: КИТАЙ
Уход: Бережная стирка при максимальной температуре 40ºС, Не отбеливать, Машинная сушка запрещена, Глажение при 110ºС, Сухая чистка запрещена
Арт.: 3224529439
"
Джинсы straight,3799,"Цвет: Голубой индиго
Состав: 100% хлопок
Страна-производитель: КИТАЙ
Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Глажение при 150ºС, Сухая чистка запрещена
Арт.: 3224462762
Параметры: Модель джинс: широкие; Тип посадки: высокая; Материал (деним): без эластана; Модель джинс на английском: straight
"
Юбка с драпировкой,2599,"Цвет: Кремовый/светлый беж
Состав: 100% хлопок
Страна-производитель: КИТАЙ
Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Глажение при 110ºС, Профессиональная сухая чистка. Мягкий режим.
Арт.: 3224242222
Параметры: Модель юбки: трапеция; Тип карманов: 2 боковых кармана; Длина платья/юбки: мини
"
Спортивный топ,1499,"Цвет: Розовый
Состав: 94% полиамид, 6% эластан
Страна-производитель: КИТАЙ
Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Не гладить, Профессиональная сухая чистка. Мягкий режим.
Арт.: 3225601454
Параметры: Вырез горловины: округлый; Тип рукава: без рукавов; Наличие принта: без принта; Наличие подкладки: Нет; Чашка: без чашек
"
Свитшот с принтом,2399,"Цвет: Слоновая кость
Состав: 65% хлопок, 35% полиэстер
Страна-производитель: УЗБЕКИСТАН
Уход: Ручная стирка при максимальной температуре 40ºС, Не отбеливать, Машинная сушка запрещена, Глажение при 110ºС, Профессиональная сухая чистка. Мягкий режим.
Арт.: 3122508408
"
Спортивная футболка,1799,"Цвет: Молочный
Состав: 63% полиэстер, 32% модал, 5% эластан
Страна-производитель: КИТАЙ
Уход: Ручная стирка при максимальной температуре 40ºС, Не отбеливать, Машинная сушка запрещена, Глажение при 110ºС, Профессиональная сухая чистка. Мягкий режим.
Арт.: 3224511412
"
Джинсы cropped,2999,"Цвет: Голубой индиго
Состав: 83% хлопок, 17% полиэстер
Страна-производитель: КИТАЙ
Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Глажение при 110ºС, Сухая чистка запрещена
Арт.: 3224472772
Параметры: Модель джинс: укороченные; Тип посадки: средняя; Материал (деним): без эластана; Модель джинс на английском: cropped
"
Спортивная футболка,1799,"Цвет: Черный
Состав: 63% полиэстер, 32% модал, 5% эластан
Страна-производитель: КИТАЙ
Уход: Ручная стирка при максимальной температуре 40ºС, Не отбеливать, Машинная сушка запрещена, Глажение при 110ºС, Профессиональная сухая чистка. Мягкий режим.
Арт.: 3224511412
"
Свитшот с принтом,2399,"Цвет: Белый
Состав: 65% хлопок, 35% полиэстер
Страна-производитель: УЗБЕКИСТАН
Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Глажение при 110ºС, Профессиональная сухая чистка. Мягкий режим.
Арт.: 3123521421
"
Мини платье,1999,"Цвет: Зеленый цветы мелкие
Состав: 100% полиэстер
Страна-производитель: КИТАЙ
Уход: Бережная стирка при максимальной температуре 40ºС, Не отбеливать, Машинная сушка запрещена, Глажение при 110ºС, Профессиональная сухая чистка. Мягкий режим.
Арт.: 3224000501
"
Джемпер с вырезом,2599,"Цвет: Коричневый графика мелкая
Состав: 50% вискоза, 29% полиэстер, 21% полиамид
Страна-производитель: БАНГЛАДЕШ
Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Глажение при 110ºС, Профессиональная сухая чистка. Мягкий режим.
Арт.: 3122627827
"
Джемпер с вырезом,2599,"Цвет: Зеленый графика мелкая
Состав: 50% вискоза, 29% полиэстер, 21% полиамид
Страна-производитель: БАНГЛАДЕШ
Уход: Бережная стирка при максимальной температуре 30ºС, Не отбеливать, Машинная сушка запрещена, Глажение при 110ºС, Профессиональная сухая чистка. Мягкий режим.
Арт.: 3122627827
"
